example_id,capability,split,kind,source_capability,topic,difficulty,prompt,reference
frontend-selection-control-085,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Unix system call creates a new process by duplicating the caller?,fork
frontend-selection-control-086,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Unix signal is the default polite termination signal?,SIGTERM
frontend-selection-control-087,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which synchronization primitive allows only one thread into a critical section at a time?,mutex
frontend-selection-control-088,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which memory region typically stores function call frames?,stack
frontend-selection-control-089,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which memory region typically stores dynamically allocated objects?,heap
frontend-selection-control-090,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Java keyword declares class inheritance?,extends
frontend-selection-control-091,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Java interface defines natural ordering?,Comparable
frontend-selection-control-092,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which C++ smart pointer represents exclusive ownership?,std::unique_ptr
frontend-selection-control-093,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which C++ keyword prevents modification through a declared object or reference?,const
frontend-selection-control-094,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Git command creates a local copy of a remote repository?,git clone
frontend-selection-control-095,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Git command records staged changes as a new commit?,git commit
frontend-selection-control-096,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which asymptotic notation describes an upper bound?,Big O
frontend-selection-control-097,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which mathematical operation is the inverse of exponentiation for solving an exponent?,logarithm
frontend-selection-control-098,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which cryptographic hash family includes SHA-256?,SHA-2
frontend-selection-control-099,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which HTTP method is conventionally used to retrieve a resource?,GET
frontend-train-target-100,frontend,train,target,frontend,frontend_original,mixed,A flex child contains a long unbreakable string and forces horizontal overflow. Which declaration on the child often fixes this?,min-width: 0;
frontend-train-target-101,frontend,train,target,frontend,frontend_original,mixed,You need a row of controls that can wrap to another line on narrow screens. Which flex property enables that?,flex-wrap
frontend-train-target-102,frontend,train,target,frontend,frontend_original,mixed,A flex item should take all remaining main-axis space. Which grow value is commonly used?,flex-grow: 1;
frontend-train-target-103,frontend,train,target,frontend,frontend_original,mixed,Two flex children should have equal starting widths before growing or shrinking. Which basis value is commonly used?,flex-basis: 0;
frontend-train-target-104,frontend,train,target,frontend,frontend_original,mixed,A component should clip overflowing content without scrollbars. Which overflow value should you use?,hidden
frontend-train-target-105,frontend,train,target,frontend,frontend_original,mixed,A container should show scrollbars only when content overflows. Which overflow value should you use?,auto
frontend-train-target-106,frontend,train,target,frontend,frontend_original,mixed,A header should remain at the top while its scroll container moves. Which positioning mode is intended for this?,position: sticky;
frontend-train-target-107,frontend,train,target,frontend,frontend_original,mixed,An overlay should be positioned relative to the viewport. Which positioning mode should it use?,position: fixed;
frontend-train-target-108,frontend,train,target,frontend,frontend_original,mixed,A child should be positioned relative to its nearest positioned ancestor. Which positioning mode should it use?,position: absolute;
frontend-train-target-109,frontend,train,target,frontend,frontend_original,mixed,You want a two-column grid where the first track is 1 fraction and the second is 2 fractions. Which value expresses that?,1fr 2fr
frontend-train-target-110,frontend,train,target,frontend,frontend_original,mixed,"A responsive grid should create as many columns as fit, with each at least 16rem wide. Which repeat keyword is usually used?",auto-fit
frontend-train-target-111,frontend,train,target,frontend,frontend_original,mixed,A grid track should be at least 0 but otherwise consume one fraction of free space. Which function is useful?,minmax()
frontend-train-target-112,frontend,train,target,frontend,frontend_original,mixed,You need a CSS value that scales with viewport width but never falls below or above limits. Which function should you use?,clamp()
frontend-train-target-113,frontend,train,target,frontend,frontend_original,mixed,A card should maintain a 16:9 shape as its width changes. Which CSS property is designed for this?,aspect-ratio
frontend-train-target-114,frontend,train,target,frontend,frontend_original,mixed,Text should truncate to a single line with an ellipsis. Which property supplies the ellipsis behavior?,text-overflow
frontend-train-target-115,frontend,train,target,frontend,frontend_original,mixed,A block of text should break very long tokens instead of overflowing. Which CSS property can permit that?,overflow-wrap
frontend-train-target-116,frontend,train,target,frontend,frontend_original,mixed,A component needs its own stacking context without changing opacity. Which property can explicitly isolate it?,isolation
frontend-train-target-117,frontend,train,target,frontend,frontend_original,mixed,A transform should animate smoothly without triggering layout. Which CSS property should be animated instead of left/top?,transform
frontend-train-target-118,frontend,train,target,frontend,frontend_original,mixed,A fade animation should avoid layout work. Which CSS property is appropriate?,opacity
frontend-train-target-119,frontend,train,target,frontend,frontend_original,mixed,A focusable control needs a visible keyboard-focus style. Which pseudo-class is especially useful for keyboard focus?,:focus-visible
frontend-train-target-120,frontend,train,target,frontend,frontend_original,mixed,A React component needs state derived from a complex action reducer. Which hook is appropriate?,useReducer
frontend-train-target-121,frontend,train,target,frontend,frontend_original,mixed,A React component needs to keep a DOM node reference. Which hook should hold it?,useRef
frontend-train-target-122,frontend,train,target,frontend,frontend_original,mixed,An expensive derived value should only recompute when dependencies change. Which hook fits?,useMemo
frontend-train-target-123,frontend,train,target,frontend,frontend_original,mixed,A callback passed to a memoized child should keep identity across renders when dependencies do not change. Which hook fits?,useCallback
frontend-train-target-124,frontend,train,target,frontend,frontend_original,mixed,A component needs to subscribe to an external store in a concurrent-safe way. Which React hook is designed for this?,useSyncExternalStore
frontend-train-target-125,frontend,train,target,frontend,frontend_original,mixed,A component needs a stable generated id for accessibility attributes. Which React hook provides one?,useId
frontend-train-target-126,frontend,train,target,frontend,frontend_original,mixed,A low-priority UI update should be marked as non-urgent. Which React API can start such a transition?,startTransition
frontend-train-target-127,frontend,train,target,frontend,frontend_original,mixed,A component wants the pending state of transitions started in it. Which hook returns that state?,useTransition
frontend-train-target-128,frontend,train,target,frontend,frontend_original,mixed,A search input should expose a deferred version of a rapidly changing value. Which hook provides that?,useDeferredValue
frontend-train-target-129,frontend,train,target,frontend,frontend_original,mixed,A custom component should read the nearest context provider's value. Which hook should it call?,useContext
frontend-train-target-130,frontend,train,target,frontend,frontend_original,mixed,A button displays only an icon. Which ARIA attribute can provide its accessible name?,aria-label
frontend-train-target-131,frontend,train,target,frontend,frontend_original,mixed,An input's error text is elsewhere in the DOM. Which ARIA attribute can reference descriptive text?,aria-describedby
frontend-train-target-132,frontend,train,target,frontend,frontend_original,mixed,A disclosure button toggles a panel. Which ARIA state should reflect whether the panel is open?,aria-expanded
frontend-train-target-133,frontend,train,target,frontend,frontend_original,mixed,A custom checkbox needs to expose its checked state. Which ARIA attribute represents that state?,aria-checked
frontend-train-target-134,frontend,train,target,frontend,frontend_original,mixed,A live status message should be announced by assistive technology without moving focus. Which ARIA attribute is intended for this?,aria-live
frontend-train-target-135,frontend,train,target,frontend,frontend_original,mixed,A page needs a machine-readable document language. Which HTML attribute belongs on the root html element?,lang
frontend-train-target-136,frontend,train,target,frontend,frontend_original,mixed,A form control needs browser autocomplete hints for an email field. Which attribute controls that?,autocomplete
frontend-train-target-137,frontend,train,target,frontend,frontend_original,mixed,A button should submit its enclosing form. Which type value gives that behavior?,submit
frontend-train-target-138,frontend,train,target,frontend,frontend_original,mixed,A button inside a form should not submit it. Which type value should be used?,button
frontend-train-target-139,frontend,train,target,frontend,frontend_original,mixed,A responsive image needs multiple candidate sources with intrinsic widths. Which image attribute lists them?,srcset
frontend-train-target-140,frontend,train,target,frontend,frontend_original,mixed,Code needs to react when a DOM node is inserted or an attribute changes. Which API observes DOM mutations?,MutationObserver
frontend-train-target-141,frontend,train,target,frontend,frontend_original,mixed,Code needs to run when the browser is idle and has spare time. Which API can schedule idle callbacks?,requestIdleCallback
frontend-train-target-142,frontend,train,target,frontend,frontend_original,mixed,Code needs to cancel an in-flight fetch request. Which controller API is used?,AbortController
frontend-train-target-143,frontend,train,target,frontend,frontend_original,mixed,A fetch response should be parsed as JSON. Which Response method is used?,json()
frontend-train-target-144,frontend,train,target,frontend,frontend_original,mixed,Code needs to read the current URL's query string parameters. Which Web API parses them conveniently?,URLSearchParams
frontend-train-target-145,frontend,train,target,frontend,frontend_original,mixed,A component needs to copy text to the clipboard in a secure context. Which browser API exposes writeText?,navigator.clipboard
frontend-train-target-146,frontend,train,target,frontend,frontend_original,mixed,A page needs to know whether a media query currently matches. Which browser API should it call?,matchMedia()
frontend-train-target-147,frontend,train,target,frontend,frontend_original,mixed,An event listener should run only once. Which addEventListener option enables that?,once
frontend-train-target-148,frontend,train,target,frontend,frontend_original,mixed,A touch or wheel listener promises not to call preventDefault. Which listener option can improve scrolling performance?,passive
frontend-train-target-149,frontend,train,target,frontend,frontend_original,mixed,A large list should render only visible rows for performance. What UI technique is this?,virtualization
frontend-heldout-target-150,frontend,heldout,target,frontend,frontend_original,mixed,A nested flex item still overflows even though its parent can shrink. Which min-size declaration is often required on the nested item?,min-width: 0;
frontend-heldout-target-151,frontend,heldout,target,frontend,frontend_original,mixed,A column flex child should be allowed to shrink below its content's intrinsic height. Which declaration is the vertical analogue of min-width: 0?,min-height: 0;
frontend-heldout-target-152,frontend,heldout,target,frontend,frontend_original,mixed,A toolbar needs equal space between neighboring controls without adding edge margins. Which CSS property is simplest?,gap
frontend-heldout-target-153,frontend,heldout,target,frontend,frontend_original,mixed,A set of cards should align in a grid and automatically place new items. Which display value establishes grid layout?,display: grid;
frontend-heldout-target-154,frontend,heldout,target,frontend,frontend_original,mixed,"You need named grid regions such as header, sidebar, and main. Which CSS property declares the area template?",grid-template-areas
frontend-heldout-target-155,frontend,heldout,target,frontend,frontend_original,mixed,An element should span from grid line 1 to grid line 3. Which shorthand property sets its column placement?,grid-column
frontend-heldout-target-156,frontend,heldout,target,frontend,frontend_original,mixed,A grid should place items densely into available holes when possible. Which property controls this?,grid-auto-flow
frontend-heldout-target-157,frontend,heldout,target,frontend,frontend_original,mixed,A layout needs content-sized columns determined by each track's maximum content contribution. Which intrinsic sizing keyword is relevant?,max-content
frontend-heldout-target-158,frontend,heldout,target,frontend,frontend_original,mixed,A layout needs content-sized columns that can shrink to the smallest unbreakable content width. Which keyword is relevant?,min-content
frontend-heldout-target-159,frontend,heldout,target,frontend,frontend_original,mixed,A component's styles should respond to its container width rather than viewport width. Which CSS feature enables this?,@container
frontend-heldout-target-160,frontend,heldout,target,frontend,frontend_original,mixed,A container must establish an inline-size query container. Which property declares the container type?,container-type
frontend-heldout-target-161,frontend,heldout,target,frontend,frontend_original,mixed,A child should visually move but retain its original layout footprint. Which CSS mechanism is appropriate?,transform
frontend-heldout-target-162,frontend,heldout,target,frontend,frontend_original,mixed,A scrollable list should stop scroll chaining to the page. Which CSS property controls that behavior?,overscroll-behavior
frontend-heldout-target-163,frontend,heldout,target,frontend,frontend_original,mixed,A touch interface should disable double-tap zoom behavior on a custom gesture surface. Which CSS property controls allowed touch gestures?,touch-action
frontend-heldout-target-164,frontend,heldout,target,frontend,frontend_original,mixed,A horizontally scrolling carousel should snap items into alignment. Which CSS property enables snapping on the container?,scroll-snap-type
frontend-heldout-target-165,frontend,heldout,target,frontend,frontend_original,mixed,A snapped carousel item should declare its snap alignment. Which CSS property does that?,scroll-snap-align
frontend-heldout-target-166,frontend,heldout,target,frontend,frontend_original,mixed,A user prefers reduced motion. Which media query feature detects that preference?,prefers-reduced-motion
frontend-heldout-target-167,frontend,heldout,target,frontend,frontend_original,mixed,A user prefers a dark color scheme. Which media query feature detects that preference?,prefers-color-scheme
frontend-heldout-target-168,frontend,heldout,target,frontend,frontend_original,mixed,A component should inherit a custom theme value declared as --accent. Which function reads that variable?,var()
frontend-heldout-target-169,frontend,heldout,target,frontend,frontend_original,mixed,A declaration must win normal cascade conflicts by increasing origin importance. Which annotation does this?,!important
frontend-heldout-target-170,frontend,heldout,target,frontend,frontend_original,mixed,A React child should avoid re-rendering when its props are shallowly unchanged. Which API wraps the component?,React.memo
frontend-heldout-target-171,frontend,heldout,target,frontend,frontend_original,mixed,A component needs an imperative handle exposed through a ref. Which hook customizes the exposed value?,useImperativeHandle
frontend-heldout-target-172,frontend,heldout,target,frontend,frontend_original,mixed,A component needs to run code when an external value changes but not during rendering. Which hook is generally used?,useEffect
frontend-heldout-target-173,frontend,heldout,target,frontend,frontend_original,mixed,A measurement must occur after DOM updates but before the browser paints. Which hook is intended for this?,useLayoutEffect
frontend-heldout-target-174,frontend,heldout,target,frontend,frontend_original,mixed,A component should render modal content under document.body while remaining in the same React tree. Which API is appropriate?,createPortal
frontend-heldout-target-175,frontend,heldout,target,frontend,frontend_original,mixed,A form should use React's built-in event for input changes. Which prop typically receives the handler?,onChange
frontend-heldout-target-176,frontend,heldout,target,frontend,frontend_original,mixed,A controlled text input receives its current text through which prop?,value
frontend-heldout-target-177,frontend,heldout,target,frontend,frontend_original,mixed,An uncontrolled input needs an initial value without controlling subsequent edits. Which prop supplies it?,defaultValue
frontend-heldout-target-178,frontend,heldout,target,frontend,frontend_original,mixed,A list is reordered frequently. Which property must remain tied to item identity rather than array position?,key
frontend-heldout-target-179,frontend,heldout,target,frontend,frontend_original,mixed,A component wants to expose reusable stateful logic without rendering extra DOM. What React abstraction is used?,custom hook
frontend-heldout-target-180,frontend,heldout,target,frontend,frontend_original,mixed,An image that conveys no information should be ignored by screen readers. What alt value should it use?,"alt="""""
frontend-heldout-target-181,frontend,heldout,target,frontend,frontend_original,mixed,A group of related controls needs a semantic caption. Which HTML element labels a fieldset?,<legend>
frontend-heldout-target-182,frontend,heldout,target,frontend,frontend_original,mixed,A table header cell should be represented by which HTML element?,<th>
frontend-heldout-target-183,frontend,heldout,target,frontend,frontend_original,mixed,A native expandable disclosure widget can be built with which HTML element?,<details>
frontend-heldout-target-184,frontend,heldout,target,frontend,frontend_original,mixed,The clickable summary for a details element uses which HTML element?,<summary>
frontend-heldout-target-185,frontend,heldout,target,frontend,frontend_original,mixed,A page section has a heading and represents a thematic grouping. Which semantic element is appropriate?,<section>
frontend-heldout-target-186,frontend,heldout,target,frontend,frontend_original,mixed,A standalone time or date should use which semantic HTML element?,<time>
frontend-heldout-target-187,frontend,heldout,target,frontend,frontend_original,mixed,A progress indicator with a known current value can use which native HTML element?,<progress>
frontend-heldout-target-188,frontend,heldout,target,frontend,frontend_original,mixed,A scalar measurement within a known range can use which native HTML element?,<meter>
frontend-heldout-target-189,frontend,heldout,target,frontend,frontend_original,mixed,Keyboard focus should be moved programmatically to an element. Which DOM method does this?,focus()
frontend-heldout-target-190,frontend,heldout,target,frontend,frontend_original,mixed,A script needs to know which element currently has focus. Which document property provides it?,document.activeElement
frontend-heldout-target-191,frontend,heldout,target,frontend,frontend_original,mixed,A custom event should bubble through the DOM. Which CustomEvent option enables bubbling?,bubbles
frontend-heldout-target-192,frontend,heldout,target,frontend,frontend_original,mixed,A handler needs the element on which the listener was registered rather than the deepest event origin. Which Event property should it read?,currentTarget
frontend-heldout-target-193,frontend,heldout,target,frontend,frontend_original,mixed,A handler needs the original deepest event target. Which Event property should it read?,target
frontend-heldout-target-194,frontend,heldout,target,frontend,frontend_original,mixed,Code needs to serialize form controls into key-value entries. Which Web API is designed for this?,FormData
frontend-heldout-target-195,frontend,heldout,target,frontend,frontend_original,mixed,A page needs to watch history navigation caused by back and forward actions. Which event fires?,popstate
frontend-heldout-target-196,frontend,heldout,target,frontend,frontend_original,mixed,A single-page app changes the URL without reloading. Which History method can add an entry?,pushState()
frontend-heldout-target-197,frontend,heldout,target,frontend,frontend_original,mixed,A browser task should be queued as a microtask. Which API explicitly schedules one?,queueMicrotask()
frontend-heldout-target-198,frontend,heldout,target,frontend,frontend_original,mixed,A component wants to measure render performance using browser timing marks. Which API exposes mark and measure?,performance
frontend-heldout-target-199,frontend,heldout,target,frontend,frontend_original,mixed,A resource should load only when its image approaches the viewport using native HTML. Which loading value enables this?,lazy
frontend-heldout-control-200,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python function applies a callable to each item lazily and returns an iterator?,map
frontend-heldout-control-201,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python function keeps items for which a predicate is true?,filter
frontend-heldout-control-202,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python module provides a double-ended queue implementation?,collections
frontend-heldout-control-203,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python keyword binds a name in an enclosing non-global scope?,nonlocal
frontend-heldout-control-204,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python keyword binds a name to the module-level scope inside a function?,global
frontend-heldout-control-205,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python special method constructs a new instance before initialization?,__new__
frontend-heldout-control-206,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python special method initializes an instance after construction?,__init__
frontend-heldout-control-207,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python built-in returns the length of a collection?,len
frontend-heldout-control-208,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python context-management statement guarantees cleanup around a block?,with
frontend-heldout-control-209,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which Python exception is raised for a missing dictionary key accessed by indexing?,KeyError
frontend-heldout-control-210,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which algorithm finds shortest paths from one source when all edge weights are nonnegative?,Dijkstra's algorithm
frontend-heldout-control-211,frontend,heldout,control,original_mixed_control,frontend_original,mixed,Which algorithm computes all-pairs shortest paths using dynamic programming?,Floyd-Warshall
